"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"11","수영장업","10_35_01_P","3940000","CDFH3301011989000004","19891209","","02","휴업","02","휴업","","","","","","","412030","경기도 고양시 덕양구 원당동 198-114번지","경기도 고양시 덕양구 고양대로1643번길 164 (원당동)","","주식회사 한양컨트리클럽","20140429154752","I","2018-08-31 23:59:59.0","","187096.075079066","461590.52649613","수영장업","사립","","","","","","","",
"12","수영장업","10_35_01_P","5430000","CDFH3301011999000001","19990723","","02","휴업","02","휴업","","20070701","20080630","","","","668873","경상남도 남해군 서면 서상리 1169번지","경상남도 남해군 서면 남서대로1517번길 50","","해안관광해수수영장","20070704094921","I","2018-08-31 23:59:59.0","","276477.557915359","145116.119413938","수영장업","사립","0","","","1650","","","",
"13","수영장업","10_35_01_P","5430000","CDFH3301012009000001","20090714","","02","휴업","02","휴업","","20090907","20100709","","","","668873","경상남도 남해군 서면 서상리 1169번지","경상남도 남해군 서면 남서대로1517번길 50","","해안관광해수수영장","20090910092819","I","2018-08-31 23:59:59.0","","276477.557915359","145116.119413938","수영장업","사립","","2","1","221.1","","","",
"14","수영장업","10_35_01_P","5430000","CDFH3301012018000001","20180703","","02","휴업","02","휴업","","20210101","20211231","","","","","경상남도 남해군 삼동면 동천리 1128","","","동천물놀이장","20211109160101","U","2021-11-11 02:40:00.0","","294557.421728834","146029.480988748","수영장업","사립","Y","0","0","0","0","","",
"15","수영장업","10_35_01_P","5410000","CDFH3301012001000001","20011107","","02","휴업","02","휴업","","20080701","20100630","","536-9870","","635891","경상남도 창녕군 부곡면 거문리 203-10번지","경상남도 창녕군 부곡면 온천로 594","","일성부곡콘도미니엄수영장","20080723101746","I","2018-08-31 23:59:59.0","","344110.855664057","216373.696119639","수영장업","사립","0","","","1036","","","",
"16","수영장업","10_35_01_P","3570000","CDFH3301012003000001","20030728","","02","휴업","02","휴업","","20050805","20070630","","937-6612","","417833","인천광역시 강화군 불은면 삼성리 산 140번지","","","삼성수영장","20051013104941","I","2018-08-31 23:59:59.0","","","","수영장업","사립","0","","","","","","",
"17","수영장업","10_35_01_P","3570000","CDFH3301012015000001","20150903","","02","휴업","02","휴업","","20210825","20220530","","032-932-3833","","","인천광역시 강화군 강화읍 국화리 344-1","인천광역시 강화군 강화읍 고비고개로 171","23028","산들애캠핑수영장","20210826083902","U","2021-08-28 02:40:00.0","","152312.772886924","471168.844609523","수영장업","사립","","0","0","0","0","","",
"18","수영장업","10_35_01_P","5540000","CDFH3301012001000001","20010129","","02","휴업","02","휴업","","20220324","20270323","","","","","경기도 광주시 곤지암읍 곤지암리 26-1","경기도 광주시 곤지암읍 경충대로 451","12812","중부수영장","20220324144200","U","2022-03-26 02:40:00.0","","231413.26336278","426069.669937548","수영장업","사립","","0","0","0","0","","",
"19","수영장업","10_35_01_P","5540000","CDFH3301012008000001","20081217","","02","휴업","02","휴업","","20220406","20220831","","","","","경기도 광주시 도척면 도웅리 534","경기도 광주시 도척면 도척윗로 278","12809","스파 라 스파(Spa la Spa)","20220406172014","U","2022-04-08 02:40:00.0","","226747.5145801","426157.430224026","수영장업","사립","","0","0","0","0","","",
"20","수영장업","10_35_01_P","3990000","CDFH3301011999000001","19990531","","02","휴업","02","휴업","","20081031","20091231","","574-0008","","472833","경기도 남양주시 진건읍 용정리 778-9번지","경기도 남양주시 진건읍 진건오남로 71","","수정스포트센터","20081218152751","I","2018-08-31 23:59:59.0","","215624.213007223","461641.544637175","수영장업","사립","0","1","","1319","","","",
"21","수영장업","10_35_01_P","3990000","CDFH3301012006000002","20061226","","02","휴업","02","휴업","","20100901","20110831","","","","472848","경기도 남양주시 화도읍 창현리 551-1번지","경기도 남양주시 화도읍 창현로 33","472848","웰스포 스포츠센터","20131223153655","I","2018-08-31 23:59:59.0","","226960.905384792","460663.472404178","수영장업","사립","","","","","","","",
"22","수영장업","10_35_01_P","3900000","CDFH3301012008000001","20080714","","02","휴업","02","휴업","","20201020","20210531","","02-899-3382","","","경기도 광명시 소하동 1267 광명시여성비전센터","경기도 광명시 오리로366번길 6, 광명시여성비전센터 (소하동)","14327","광명시여성비전센터 수영장","20201020180816","U","2020-10-22 02:40:00.0","","189326.816399353","436974.632866524","수영장업","사립","Y","","1","5169.82","","","",
"23","수영장업","10_35_01_P","3780000","CDFH3301011998000002","19980901","","02","휴업","02","휴업","","20210526","20211231","","727-4680","","","경기도 성남시 분당구 정자동 206 한국통신사옥 지하2층","경기도 성남시 분당구 불정로 90, 지하2층 (정자동, KT본사)","13606","(재)케이티그룹희망나눔재단 KT스포츠센터","20210526172726","U","2021-05-28 02:40:00.0","","210101.949158053","428543.907051513","수영장업","사립","Y","2","","1385","","","",
"24","수영장업","10_35_01_P","4350000","CDFH3301012009000001","20090706","","02","휴업","02","휴업","","20140106","20170105","","670-1000","","215814","강원도 양양군 서면 오색리 511번지","","","오색그린야드호텔 수영장","20140422130450","I","2018-08-31 23:59:59.0","","326960.975344708","509635.53213107","수영장업","사립","","1","","4824","","","",
"25","수영장업","10_35_01_P","3210000","CDFH3301012002000002","20020710","","02","휴업","02","휴업","","20210101","20211231","","3019-8132","","137825","서울특별시 서초구 방배동 630","서울특별시 서초구 남부순환로 2248 (방배동)","","서울특별시교육청 교육연수원","20210106101044","U","2021-01-08 02:40:00.0","","199693.06999443","441141.610110838","수영장업","사립","Y","","","","","","",
"26","수영장업","10_35_01_P","4680000","CDFH3301011989000001","19891110","","02","휴업","02","휴업","","19970714","19980715","","","","570996","전라북도 익산시 팔봉동 58-3번지","","","팔봉수영장","20050520102022","I","2018-08-31 23:59:59.0","","","","수영장업","사립","0","","","","","","",
"27","수영장업","10_35_01_P","5530000","CDFH3301011996000001","19960726","","02","휴업","02","휴업","","20180528","20210527","","352-7151","","445965","경기도 화성시 정남면 괘랑리 산 60-47","","","라비돌수영장","20180529154601","I","2020-08-05 00:23:26.0","","","","수영장업","사립","0","","","","","","",
"28","수영장업","10_35_01_P","4340000","CDFH3301011990000001","19900910","","02","휴업","02","휴업","","20060401","20101231","","033-681-5030","","219804","강원도 고성군 간성읍 흘리 1통","","","알프스리조트실내수영장","20080521103037","I","2018-08-31 23:59:59.0","","","","수영장업","사립","1","1","","1820","","","",
"29","수영장업","10_35_01_P","3550000","CDFH3301011994000001","19940617","","02","휴업","02","휴업","","20020701","","","032-548-4232","","407805","인천광역시 계양구 계산동 926-27번지 지하3층","인천광역시 계양구 하느재로 14 (계산동)","407805","새나드리프라자수영장","20111030174305","I","2018-08-31 23:59:59.0","","175658.268315376","449209.149467316","수영장업","사립","","","","","","","",
"30","수영장업","10_35_01_P","4230000","CDFH3301012002000001","20021107","","02","휴업","02","휴업","","20200529","20201231","","033-635-5800","","217070","강원도 속초시 노학동 746-96번지","강원도 속초시 관광로408번길 14 (노학동)","24859","설악파인콘도미니엄수영장","20200529181655","U","2020-05-31 02:40:00.0","","334748.677009013","522552.478010903","수영장업","사립","Y","","","","","","",
"31","수영장업","10_35_01_P","4300000","CDFH3301012006000001","20060113","","02","휴업","02","휴업","","20170516","20171030","","456-1920","","269815","강원도 철원군 동송읍 이평리 861-148번지 학산빌라D동 지하층","강원도 철원군 동송읍 이평로111번길 28","269810","청강수영장","20170620134326","I","2018-08-31 23:59:59.0","","218331.08078075","522606.945929736","수영장업","사립","","","","","","","",
"32","수영장업","10_35_01_P","3700000","CDFH3301012002000001","20020614","","02","휴업","02","휴업","","20050222","20050622","","277-8001-3","","680806","울산광역시 남구 무거동 299-10번지","울산광역시 남구 북부순환도로 17  (무거동)","","남운스포렉스","20050224093455","I","2018-08-31 23:59:59.0","","405350.026689644","230358.13650598","수영장업","사립","1","1","","619.96","","","",
"33","수영장업","10_35_01_P","3710000","CDFH3301011997000005","19970715","","02","휴업","02","휴업","","20210119","20231231","","230-2181","","682808","울산광역시 동구 서부동 257-44","울산광역시 동구 방어진순환도로 995-2 (서부동)","44025","서부회관수영장","20210120140343","U","2021-01-22 02:40:00.0","","420434.866760943","228254.172655585","수영장업","사립","","","","1146","","","",
"34","수영장업","10_35_01_P","4420000","CDFH3301011994000001","19940715","","02","휴업","02","휴업","","","","","","","376852","충청북도 보은군 마로면 임곡리 386-27번지","충청북도 보은군 마로면 임곡길 66-80","28964","서당골관광농원","20200322143957","U","2020-03-24 02:40:00.0","","277211.993641","325803.212106","수영장업","사립","","","","","","","",
"35","수영장업","10_35_01_P","3080000","CDFH3301011989000001","19891214","","02","휴업","02","휴업","","19980824","19990701","","900-8181","","142090","서울특별시 강북구 우이동 산 196-197번지","","","(주)호텔그린파크수영장","20030417193724","I","2018-08-31 23:59:59.0","","","","수영장업","사립","","0","0","0","","","",
"36","수영장업","10_35_01_P","5130000","CDFH3301012018000001","20181004","","02","휴업","02","휴업","","20211101","20230131","","053-851-0047","","","경상북도 경산시 하양읍 금락리 409-3","경상북도 경산시 하양읍 대학로295길 60, 1동 1층","38437","예인프랜즈학원","20211213150906","U","2021-12-15 02:40:00.0","","363984","269096","수영장업","사립","Y","1","1","465.01","0","","",
"37","수영장업","10_35_01_P","5710000","CDFH3301012004000001","20040427","","02","휴업","02","휴업","","20140808","20150808","","287-5757","","361822","충청북도 청주시 서원구 분평동 343-23번지 6층","충청북도 청주시 서원구 청남로2005번길 100  (분평동,6층)","","청주온천스파피아수영장","20140808172404","I","2018-10-04 11:12:49.0","","242786.535989","345504.155401","수영장업","사립","0","1","1","375.17","","","",
"38","수영장업","10_35_01_P","4520000","CDFH3301012000000001","20000718","","02","휴업","02","휴업","","20210802","20220801","","041-544-2155","","336812","충청남도 아산시 염치읍 동정리 4-1","충청남도 아산시 염치읍 충무로 547","","(주)훼미리랜드","20210802103338","U","2021-08-04 02:40:00.0","","200844.23822500000","369917.81273400000","수영장업","사립","","0","0","890","0","","",
"39","수영장업","10_35_01_P","4580000","CDFH3301012002000001","20020727","","02","휴업","02","휴업","","20200201","20211130","","041--956-0367","","325813","충청남도 서천군 마서면 도삼리 71-10","충청남도 서천군 마서면 장산로855번길 20","","드림월드수영장","20210914132344","U","2021-09-16 02:40:00.0","","176103.981357","280023.464689","수영장업","사립","","0","0","0","0","","",
"40","수영장업","10_35_01_P","4580000","CDFH3301012006000001","20060504","","02","휴업","02","휴업","","20190101","20220630","","953-4888","","325814","충청남도 서천군 마서면 덕암리 527-2","충청남도 서천군 마서면 장서로 524","33655","덕암스파","20210914155508","U","2021-09-16 02:40:00.0","","173508.218433","283081.027689","수영장업","사립","Y","0","1","528.78","0","","",
"41","수영장업","10_35_01_P","4500000","CDFH3301011995000001","19950707","","02","휴업","02","휴업","","20171213","20181213","","","","314891","충청남도 공주시 유구읍 구계리 1-4번지","충청남도 공주시 유구읍 유구마곡사로 578","32520","석수풀장","20171213143111","I","2018-08-31 23:59:59.0","","199557.093479","340770.378395","수영장업","사립","","","1","","","","",
"42","수영장업","10_35_01_P","4430000","CDFH3301011994000001","19940715","","02","휴업","02","휴업","","19980731","20000731","","731-4390","","373809","충청북도 옥천군 옥천읍 삼양리 222-375번지","충청북도 옥천군 옥천읍 삼양로 85","","세림스포츠센타","20051219110756","I","2018-08-31 23:59:59.0","","251030.228166","311606.410055","수영장업","사립","0","1","","","","","",
"43","수영장업","10_35_01_P","4070000","CDFH3301011991000001","19910715","","02","휴업","02","휴업","","20120719","20121030","","","","467866","경기도 이천시 부발읍 아미리 4-2번지","경기도 이천시 부발읍 황무로1756번길 46","","청암관광농원수영장","20130111160551","I","2018-08-31 23:59:59.0","","245631.068294063","418484.505778552","수영장업","사립","","","","565","","","",
"44","수영장업","10_35_01_P","5700000","CDFH3301012000000001","20000706","","02","휴업","02","휴업","","20190415","20201231","","886-8100","","469832","경기도 여주시 금사면 하호리 345번지","","","이포리조트수영장","20190415132440","U","2019-04-17 02:40:00.0","","244472.30499377","432656.349795223","수영장업","사립","0","1","","609","","","",
"45","수영장업","10_35_01_P","4050000","CDFH3301012016000001","20160225","","02","휴업","02","휴업","","20210830","20220701","","031-335-1118","","","경기도 용인시 처인구 삼가동 421-13 2층","경기도 용인시 처인구 지삼로 470, 2층 (삼가동)","17090","로만바스 수영장","20210902162756","U","2021-09-04 02:40:00.0","","213818.779951192","414579.690980807","수영장업","사립","Y","1","0","2887.6","0","","",
"46","수영장업","10_35_01_P","4050000","CDFH3301011996000002","19961227","","02","휴업","02","휴업","","20190305","20221231","","031-338-2001","","449821","경기도 용인시 처인구 양지면 남곡리 18-1번지","경기도 용인시 처인구 양지면 남평로 112","17164","스포렉스(양지리조트실내수영장)","20200428134342","U","2020-04-30 02:40:00.0","","226308.274548414","412120.925798783","수영장업","사립","Y","1","","","","","",
"47","수영장업","10_35_01_P","4050000","CDFH3301011997000001","19970628","","02","휴업","02","휴업","","20200701","20210630","","031-336-0504","","449833","경기도 용인시 처인구 이동읍 묵리 427-1","경기도 용인시 처인구 이동읍 이원로 495","17132","용인레저(실외)","20200630173718","U","2020-07-02 02:40:00.0","","221263.81160375","407295.018213484","수영장업","사립","Y","1","","","","","",
"48","수영장업","10_35_01_P","4060000","CDFH3301012007000001","20071018","","02","휴업","02","휴업","","20120706","20140705","","031)955-5152","","413832","경기도 파주시 문발동 503-1번지 달관동 지층9호","경기도 파주시 문발로 234  (문발동,달관동 지층9호)","","해피아리조트","20120709103743","I","2018-08-31 23:59:59.0","","172440.296202224","468107.169691571","수영장업","사립","1","1","","17707.73","","","",
"49","수영장업","10_35_01_P","5440000","CDFH3301012001000001","20010810","","02","휴업","02","휴업","","20180126","20180630","","","","","경상남도 하동군 옥종면 정수리 34번지 옥종불소유황천","경상남도 하동군 옥종면 세종태실로 573, 옥종불소유황천","52315","옥종유황수영장","20180717154048","I","2018-10-09 15:19:31.0","","281219.451295615","184583.669332207","수영장업","사립","","","","590.43","","","",
"50","수영장업","10_35_01_P","5220000","CDFH3301012019000001","20190102","","02","휴업","02","휴업","","20210901","20211231","","","","","경상북도 칠곡군 왜관읍 석전리 254","경상북도 칠곡군 왜관읍 관문로1길 32","39872","칠곡 수영장","20211229182723","U","2021-12-31 02:40:00.0","","327763.5307747","277718.730023173","수영장업","사립","Y","0","0","6847.44","0","","",
"51","수영장업","10_35_01_P","3420000","CDFH3301012016000001","20161202","","03","폐업","03","폐업","20220510","","","","053-793-6452","","","대구광역시 동구 동호동 107-13","대구광역시 동구 경안로 722, B1층 (동호동)","41078","월드스포츠스쿨 아쿠아센터","20220510143514","U","2022-05-12 02:40:00.0","","354740.350322","264308.47143","수영장업","사립","","2","0","1974.86","0","","",
"52","수영장업","10_35_01_P","3430000","CDFH3301012005000001","20050330","","03","폐업","03","폐업","20150112","","","","","","703815","대구광역시 서구 비산동 475-2번지","대구광역시 서구 문화로 322 (비산동)","703815","나인스포츠","20150112165711","I","2018-08-31 23:59:59.0","","341510.862642","265077.849795","수영장업","사립","","","","","","","",
"53","수영장업","10_35_01_P","3430000","CDFH3301012015000001","20150618","","03","폐업","03","폐업","20170524","","","","053-522-7845","","703815","대구광역시 서구 비산동 475-2번지","대구광역시 서구 문화로 322, 5층 (비산동)","41789","엠스포짐","20170607151735","I","2018-08-31 23:59:59.0","","341510.862642","265077.849795","수영장업","사립","Y","2","","4884","","","",
"54","수영장업","10_35_01_P","3430000","CDFH3301012017000001","20171219","","03","폐업","03","폐업","20210223","","","","","","","대구광역시 서구 평리동 1070-7 평리중학교","대구광역시 서구 국채보상로55길 21, 평리스포츠센터동 지상1층 (평리동)","41775","코오롱글로벌(주)스포렉스 대구점","20210223164544","U","2021-02-25 02:40:00.0","","340906.388784","264885.88662","수영장업","사립","","2","","2913","","","",
"55","수영장업","10_35_01_P","3670000","CDFH3301011989000001","19891115","","03","폐업","03","폐업","20031211","","","","861-8841","","305340","대전광역시 유성구 도룡동 394-4번지","대전광역시 유성구 대덕대로 581  (도룡동)","","대덕전문연구단지관리본부수영장","20031218132651","I","2018-08-31 23:59:59.0","","233849.806834","320512.399784","수영장업","사립","1","","","1120","","","",
"56","수영장업","10_35_01_P","3670000","CDFH3301011994000001","19940628","","03","폐업","03","폐업","20120622","","","","862-4000","","305340","대전광역시 유성구 도룡동 3-1번지","대전광역시 유성구 대덕대로 480 (도룡동, 꿈돌이랜드수영장)","305733","꿈돌이랜드수영장(실외)","20120622173646","I","2018-08-31 23:59:59.0","","234414.007946","319679.535632","수영장업","사립","Y","","","1383","","","",
"57","수영장업","10_35_01_P","3680000","CDFH3301011994000001","19941229","","03","폐업","03","폐업","20071217","","","","042-626-8003","","306827","대전광역시 대덕구 중리동 362-1번지","대전광역시 대덕구 중리서로 83  (중리동)","","럭키스포츠수영장","20071217163020","I","2018-08-31 23:59:59.0","","237876.575812","318471.966054","수영장업","사립","1","2","","2277","","","",
"58","수영장업","10_35_01_P","3270000","CDFH3301012000000001","20000103","","03","폐업","03","폐업","20080709","","","","464-1410","","601812","부산광역시 동구 수정동 228-12번지 228-13","부산광역시 동구 중앙대로389번길 15  (수정동,228-13)","","백화수영장","20080709114353","I","2018-08-31 23:59:59.0","","386699.592319098","183163.791407926","수영장업","사립","1","","","","","","",
"59","수영장업","10_35_01_P","3270000","CDFH3301012017000001","20170705","","03","폐업","03","폐업","20170925","","","","","","","부산광역시 동구 초량동 1185-1번지","","","부산항 시민 해수온천 수영장","20170928130509","I","2018-08-31 23:59:59.0","","386466.092076382","181381.122678011","수영장업","사립","Y","","","7425","","","",
"60","수영장업","10_35_01_P","3270000","CDFH3301012018000001","20180625","","03","폐업","03","폐업","20180820","","","","051-999-3000","","","부산광역시 동구 초량동 1185-1번지","","","부산항 시민 해수온천 수영장","20180830143842","I","2018-08-31 23:59:59.0","","386466.092076382","181381.122678011","수영장업","사립","Y","","","","","","",
"61","수영장업","10_35_01_P","5120000","CDFH3301012007000001","20070103","","03","폐업","03","폐업","20160504","","","","","","745801","경상북도 문경시 문경읍 상초리 355-0002번지","","","문경시 야외수영장","20160504105542","I","2018-08-31 23:59:59.0","","295921.99724655","362608.920808228","수영장업","사립","","","","","","","",
"62","수영장업","10_35_01_P","5120000","CDFH3301012018000001","20180706","","03","폐업","03","폐업","20180826","","","","054-572-6854","","","경상북도 문경시 가은읍 왕능리 480번지","경상북도 문경시 가은읍 왕능길 114","36995","에코랄라 워터랜드","20180903131759","U","2018-09-03 23:59:59.0","","294633.697229943","350956.765624923","수영장업","사립","","","","","","","",
"63","수영장업","10_35_01_P","5360000","CDFH3301012003000001","20030503","","03","폐업","03","폐업","20140911","","","","","","627162","경상남도 밀양시 활성동 464-17번지","경상남도 밀양시 활성로 42-1 (활성동)","","강마을야외수영장(1)","20140911113905","I","2018-08-31 23:59:59.0","","361626.094651446","223061.047057674","수영장업","사립","","","","","","","",
"64","수영장업","10_35_01_P","5350000","CDFH3301012002000001","20020323","","03","폐업","03","폐업","20121116","","","","055-330-9000","","621831","562-12번지","경상남도 김해시 장유면 대청로104번길 84","621831","장유아쿠아웨이브","20121116161756","I","2018-08-31 23:59:59.0","","364612.31674500000","189439.50161500000","수영장업","사립","","2","","","","","",
"65","수영장업","10_35_01_P","5350000","CDFH3301012003000001","20030709","","03","폐업","03","폐업","20160218","","","","334-5757","","621903","경상남도 김해시 내동 1117-1번지 경보스포츠프라자 1601호","경상남도 김해시 내외로77번길 12,  1601호 (내동,경보스포츠프라자)","","경보수영장","20160218202400","I","2018-08-31 23:59:59.0","","369800.792718761","194528.652271675","수영장업","사립","","2","","23738.94","","","",
"66","수영장업","10_35_01_P","5350000","CDFH3301012003000002","20030820","","03","폐업","03","폐업","20090331","","","","","","621831","79-3번지","경상남도 김해시 장유면 능동로 27","","워터랜드","20090331181131","I","2018-08-31 23:59:59.0","","363615.71915100000","190402.09851700000","수영장업","사립","0","","","","","","",
"67","수영장업","10_35_01_P","4210000","CDFH3301012005000001","20050630","","03","폐업","03","폐업","20191231","","","","","","240816","강원도 동해시 묵호진동 2-2번지","강원도 동해시 일출로 151 (묵호진동)","","삼양비치 해수수영장","20200313143415","U","2020-03-17 02:40:00.0","","387323.883986449","452587.831165545","수영장업","사립","","","","","","","",
"68","수영장업","10_35_01_P","4640000","CDFH3301012013000003","20130802","","03","폐업","03","폐업","20140304","","","","","","561816","전라북도 전주시 덕진구 송천동1가 107-83번지","전라북도 전주시 덕진구 오송1길 13-9 (송천동1가)","561816","하버드 수영장","20140304095548","I","2018-08-31 23:59:59.0","","211510.2423","262632.682304","수영장업","사립","Y","1","","","","","",
"69","수영장업","10_35_01_P","4640000","CDFH3301012014000002","20140725","","03","폐업","03","폐업","20180131","","","","","","560287","전라북도 전주시 완산구 원당동 576-3번지","전라북도 전주시 완산구 학전길 13 (원당동)","55142","학전 수영장","20180131125221","I","2018-08-31 23:59:59.0","","209790.920175","251739.983607","수영장업","사립","Y","","","472.5","","","",
"70","수영장업","10_35_01_P","4640000","CDFH3301012016000001","20160721","","03","폐업","03","폐업","20180510","","","","063-283-7887","","","전라북도 전주시 완산구 효자동2가 842-2번지","전라북도 전주시 완산구 원효자길 20, 1층 (효자동2가)","55073","웰니스업","20180510132316","I","2018-08-31 23:59:59.0","","208168","255305","수영장업","공립","Y","2","","","","","",
"71","수영장업","10_35_01_P","4640000","CDFH3301012011000001","20110722","","03","폐업","03","폐업","20110830","","","","237-3651","","560868","전라북도 전주시 완산구 효자동2가 1157-4번지","","","2011 키즈킹덤 워터 테마파크","20110906155016","I","2018-08-31 23:59:59.0","","209717.242175","257128.868831","수영장업","사립","Y","","","","","","",
"72","수영장업","10_35_01_P","4640000","CDFH3301012012000001","20120713","","03","폐업","03","폐업","20121005","","","","","","560856","전라북도 전주시 완산구 효자동1가 434번지 외 12필지","전라북도 전주시 완산구 용머리로 45  (효자동1가,외 12필지)","","전주 물놀이 축제장","20121005153842","I","2018-08-31 23:59:59.0","","210401.080652","256333.133658","수영장업","사립","","","","","","","",
"73","수영장업","10_35_01_P","4640000","CDFH3301012013000001","20130604","","03","폐업","03","폐업","20151019","","","","222-5500","","560859","전라북도 전주시 완산구 효자동2가 753-11번지 호반유치원 내","전라북도 전주시 완산구 한절길 22 (효자동2가)","55070","튼튼 스포츠","20151019163221","I","2018-08-31 23:59:59.0","","208565.172181","255814.374802","수영장업","사립","Y","1","","1996.3","","","",
"74","수영장업","10_35_01_P","4640000","CDFH3301011988000001","19880429","","03","폐업","03","폐업","20201102","","","","063-277-0041","","561802","전라북도 전주시 덕진구 금암동 482-14","전라북도 전주시 덕진구 기린대로 358 (금암동)","54931","더이지스윔스쿨","20201102172124","U","2020-11-04 02:40:00.0","","212164.808661","259487.436194","수영장업","사립","Y","1","1","1356","","","",
"75","수영장업","10_35_01_P","4640000","CDFH3301011989000001","19891128","","03","폐업","03","폐업","20050404","","","","277-0041","","561802","전라북도 전주시 덕진구 금암동 482-14번지","전라북도 전주시 덕진구 기린대로 358  (금암동)","","태평양수영장","20050404171104","I","2018-08-31 23:59:59.0","","212164.808661","259487.436194","수영장업","사립","0","","1","6681.73","","","",
