"나이","체지방률","악력","앞으로굽히기","윗몸일으키기","멀리뛰기","등급","bmi"
29,11.8,60.3,22.2,62,229,"A",23.6
28,3,53.66,29.5,68,259,"A",24.2
43,19.1,52,18.5,50,221,"A",27.9
39,17.2,44.9,16,47,236,"A",24.1
46,19,37.4,16.4,53,194,"A",20.6
59,20.2,41.9,21.2,44,197,"A",25.1
27,16.5,44.6,15.5,52,226,"A",21.4
36,22,38.3,15.3,51,219,"A",23.7
21,16.6,39.9,16.3,68,240,"A",25.1
41,22.4,49.2,15.5,47,253,"A",24.1
31,23.1,58.3,21.5,51,234,"A",29.7
58,20.8,42.9,23.3,40,186,"A",23.7
28,27.5,48.5,17,52,231,"A",24.5
46,21.9,44.3,15.5,45,208,"A",23.1
28,9.8,42.8,26.1,52,221,"A",23.5
56,18.9,44.3,21,42,201,"A",24.2
60,19.6,38.4,22.3,42,162,"A",21.9
57,24.7,43.6,15.2,40,185,"A",26.4
61,19.1,42.9,12.4,44,185,"A",22.8
61,27.9,40.9,12.7,43,203,"A",27.3
28,6,40.3,15.6,62,226,"A",21.4
25,12.8,53.2,18.7,62,265,"A",23.2
27,7.6,55.9,15.6,61,252,"A",23.7
44,19.3,45.7,16.9,52,224,"A",13.5
37,14.9,55.1,14.8,66,249,"A",25.3
59,17.2,42.5,17.6,47,187,"A",25.2
29,19,45.7,17.2,74,241,"A",25.9
37,15.8,36.2,19.1,45,219,"A",22
24,11.7,52.3,27.5,68,250,"A",24.3
26,11.9,57.5,26.2,65,250,"A",22.3
33,13.2,53.1,17,62,253,"A",24
47,16.1,44.1,15.4,42,212,"A",23.1
25,30.3,53,15.1,54,226,"A",27.2
36,9.2,52.2,17,54,238,"A",23.7
22,11.2,50,21.6,58,244,"A",23.5
21,8.2,43.5,18.3,63,273,"A",20.9
28,9.3,46.6,23.4,62,239,"A",27.6
26,16.2,45.8,17.8,53,252,"A",24.2
32,17.4,38.7,28.3,53,252,"A",24.9
35,14.8,50.5,22.7,62,256,"A",24.5
60,16.5,41.9,11.8,33,182,"A",22.3
21,13.9,58.8,23.2,57,239,"A",23.6
41,15.1,46,25.3,59,223,"A",23.1
35,16,48.4,14.5,53,233,"A",21.4
25,14.8,52.7,17.6,52,249,"A",26.8
35,19.5,46.4,19,45,232,"A",23.9
25,17.9,46,16.4,58,192,"A",23.1
21,24,49,18.7,58,230,"A",26.2
48,13.9,46.6,24.6,56,248,"A",24.3
41,14.5,42.5,23.4,48,234,"A",23.1
25,24.4,40.1,16.5,59,205,"A",24.3
45,19.08869,37.4,20,60,199,"A",22.8
30,14.9,47.3,21.4,52,225,"A",21.4
38,10.8,46.1,17.5,59,215,"A",24.4
45,25.6,40.1,24.2,43,219,"A",25.9
51,18.8,46.3,21.2,49,190,"A",22.3
33,12.3,57.5,14.6,62,241,"A",24
29,12.3,44.1,15.3,52,250,"A",22.9
60,24.3,40.7,15.7,40,170,"A",28
24,12.7,41.8,20.5,59,242,"A",22
53,12.8,49,17.7,47,200,"A",21.8
40,15.9,43.5,15,48,218,"A",22.8
36,18.5,43.1,22,49,225,"A",24.1
60,15,52.6,15.5,34,214,"A",22.5
33,14.5,44,16.2,49,232,"A",21.1
24,13.8,41.4,22.9,61,242,"A",23.6
22,27.4,53.2,16.1,56,229,"A",26.3
30,13.09016,46.8,19.9,54,226,"A",20.8
26,19.5,49.2,20.3,60,242,"A",24.7
25,12.6,58.4,22.5,64,275,"A",23.1
25,10.2,51.9,27.6,60,269,"A",25.2
60,24.4,40.3,22.6,31,194,"A",23.6
34,13.88621,44.9,15.4,64,257,"A",23.5
32,16.5,44.8,25.8,60,229,"A",22.7
28,17.1,39.4,19.2,52,223,"A",24.2
28,11.7,41.1,18.2,60,245,"A",23.1
26,26.3,40.3,21.1,62,207,"A",25.3
22,6.2,39.8,27.4,60,230,"A",19.5
27,20.6,46.6,22.6,55,240,"A",23.2
60,16.4,38.3,11.9,31,185,"A",22.6
26,15.3,48.1,17.2,58,266,"A",25.1
30,14,42.6,21.9,59,238,"A",21.6
28,11.7,60.1,21.1,58,245,"A",27.8
26,14.4,50.3,18.3,58,260,"A",23.9
25,19.2,53.9,19.6,60,247,"A",24.1
46,11,38.6,14.1,41,216,"A",18.9
29,8.5,54.8,22.1,62,248,"A",24.2
48,17.8,48.7,14.2,46,237,"A",25
35,17.3,42.4,18.8,65,202,"A",24.6
24,26,53.5,17.5,58,231,"A",29.6
30,21.2,59,17.1,57,257,"A",25.6
29,15.5,42.2,27.5,60,248,"A",22.9
44,18.7,39,15.6,45,210,"A",22.2
29,21.1,70.5,19.4,56,220,"A",30.7
51,24.1,38.9,18.4,41,213,"A",24
28,19.5,45.8,23,52,219,"A",24.8
29,16.4,53.5,19.8,59,236,"A",25.3
36,21.1,50,26.1,58,249,"A",28.2
26,12.3,44.9,23,59,226,"A",22.1
33,20.3,49.8,14.9,47,251,"A",25.5
38,16.1,58.8,15,55,245,"A",27.3
25,15.5,43.9,20.2,57,242,"A",23.6
30,20.8,50,25.9,59,247,"A",25.3
26,23.1,40.4,18.1,55,236,"A",24.6
32,10.06304,40.5,15.4,49,229,"A",18.9
30,19.6,57,17.5,52,252,"A",25.7
60,26.3,40.3,13.9,31,185,"A",25.6
28,20.8,48.2,15.5,56,212,"A",26.1
29,10.5,40.3,24.6,57,235,"A",23.4
33,13.6,49.9,20,64,240,"A",23.3
29,13.8,48.4,15.2,52,223,"A",22.3
28,13.1,40.9,23,70,247,"A",18.9
24,14.4,49.7,22.6,59,236,"A",22.9
38,27.5,54.5,15.2,50,218,"A",27.7
38,18.8,50.6,19.7,62,228,"A",22.7
27,12.9,50.4,19.5,65,226,"A",25.6
25,21.3,48.3,16.3,52,230,"A",23.3
28,14,59.1,19.7,53,257,"A",26.3
24,12.5,52.7,20.4,66,265,"A",25.1
33,16.7,46.5,15.8,53,221,"A",21.3
21,12.8,46.6,25,62,262,"A",23.3
27,20.7,47.6,18.4,54,229,"A",23.4
59,20.9,40.5,14.9,41,208,"A",22.5
24,13.4,49.4,19.6,55,212,"A",21.2
35,16.6,46.9,24.3,59,215,"A",24.9
26,18.4,44.7,16.1,53,219,"A",24.3
28,15.9,44.3,18,57,225,"A",22.5
37,20.2,49.4,21.9,45,232,"A",27.9
40,13.7,55.9,20.7,60,227,"A",25.4
36,15.6,45.1,23.4,50,236,"A",24.6
62,16.5,34.7,15.2,39,178,"A",17.6
42,19.2,45,20.9,49,233,"A",26.8
33,14.6,45.1,18.9,55,230,"A",22.3
54,17.2,41.5,19.5,51,206,"A",23.1
22,11.9,50,20.4,56,234,"A",24.1
38,18.8,47,18.3,48,220,"A",23.7
28,12.1,51,22.5,60,228,"A",25
36,22,57.5,20.6,48,214,"A",26.2
31,9.8,56,14.4,63,234,"A",23
27,14.7,43.8,21.8,59,238,"A",23.6
27,19.5,44.9,19,53,232,"A",25.3
48,11.3,42.6,16,42,202,"A",19.9
34,13.8,40.4,17.9,55,245,"A",22.6
28,18.7,46.6,22.9,66,258,"A",27.2
54,12.1,45.6,18.2,48,234,"A",22.7
25,27.8,48.6,14.9,56,211,"A",26.2
60,21.1,37.2,15.9,37,191,"A",20.9
21,13.2,48.1,19.8,73,290,"A",22
53,21.5,44.2,17.6,47,208,"A",26.1
24,7.4,48.6,25.7,55,251,"A",23.6
45,11.2,41.8,27.4,41,209,"A",18.9
22,18,43.1,22,55,232,"A",23
25,22.4,44.4,23.8,60,215,"A",24.9
61,19.5,46.1,12.8,32,193,"A",24.2
40,25.3,43.1,14.5,44,196,"A",23.1
50,22.8,50.2,20.9,40,214,"A",27.2
33,23.5,50.7,19.3,53,233,"A",26.2
43,14.4,60.1,20,48,238,"A",21.6
24,13,50.4,16.7,60,244,"A",25.2
61,19.2,45.3,19.3,34,203,"A",23.6
48,22,51.3,16.8,42,227,"A",26.8
25,23.7,44.3,23.8,60,224,"A",24.6
33,20.7,52.1,16.2,76,244,"A",26.1
30,14.9,38.4,20.9,47,222,"A",23.9
51,20.4,42.4,15.7,44,198,"A",24.6
30,17.4,48.9,15.4,52,245,"A",22
59,15.6,37.1,15.6,41,184,"A",22.6
27,15.7,49.4,22.1,59,261,"A",23.8
33,13.6,55.7,17.7,59,241,"A",22.7
29,16.5,46.1,27,54,248,"A",24.1
26,14.2,59.8,24,52,218,"A",27.3
63,17.7,46.5,18.6,34,189,"A",26
32,12,53.8,23,76,274,"A",25
41,21.2,52,22,46,211,"A",24.6
50,21,59.4,21.5,46,227,"A",24.9
48,14.1,41.8,16.2,56,208,"A",21.6
42,23.6,46.6,20.7,46,240,"A",25.3
29,17.3,50.4,18,60,250,"A",22.9
22,13.1,44.9,22.1,58,234,"A",23
35,18.4,54.2,24,50,230,"A",21.8
32,16.8,57.4,18.3,55,239,"A",25.5
29,19.9,60,25.5,51,215,"A",27.4
38,9.8,43.3,24.21,49,228,"A",22.6
38,26.9,55.4,23,61,253,"A",26.9
64,15.8,43.3,19.3,41,178,"A",24.8
27,14.1,48.2,23.9,59,235,"A",23.4
37,27.8,49.1,15.6,57,226,"A",27.5
32,20,41.9,19.1,50,230,"A",26.5
64,23,50.7,12.9,32,170,"A",29.4
26,8,51.7,21.4,56,260,"A",23.2
45,24.4,47.6,16,50,198,"A",24.5
24,15.1,35.7,16.5,61,219,"A",23
28,20,49.1,16.6,51,225,"A",25.7
28,18.9,38,17,59,239,"A",20.2
46,17.2,46.1,25.5,51,202,"A",24.3
29,16.5,48.7,17.1,55,230,"A",22.8
35,12.7,53.5,15,58,246,"A",23.6
21,21.8,40.7,20.2,63,231,"A",24
45,11.4,47.4,28.2,47,222,"A",23.1
28,7.9,62.8,19.9,56,248,"A",23.9
27,15.3,47.3,16.4,53,244,"A",25.1
27,20.1,52,19.8,53,247,"A",26.4
43,11.5,45.4,14.4,52,238,"A",21.7
21,7.9,46.5,17.6,58,245,"A",22.7
25,11.6,47.3,16.9,64,241,"A",22.4
30,20.2,46,15.3,48,239,"A",24.2
48,23.1,40.3,19.3,56,197,"A",24.4
24,21.8,53.8,25.6,56,259,"A",25.3
32,15.6,43,18,54,232,"A",22.7
36,15.4,54.9,21.4,55,262,"A",25.7
26,17.9,51.3,18,53,205,"A",24.7
26,17,46.2,19.4,54,238,"A",25
31,24.7,42.4,19.1,56,230,"A",27.9
60,19.2,50.3,18.6,41,198,"A",23.4
43,20.3,44.3,23.6,60,245,"A",25.8
33,21,51.3,23.8,47,224,"A",24.3
24,13.9,59.5,22.4,61,235,"A",23.7
25,15.7,44.9,28.6,60,251,"A",26.5
37,8.1,43.2,26,58,227,"A",21.2
47,15.4,47.3,18.2,47,230,"A",24.2
45,16.9,45.9,16,50,218,"A",24.4
38,20.1,38.2,14.7,63,214,"A",23.3
25,12.9,40.1,20.2,59,250,"A",22
40,25.9,40.2,16.3,50,239,"A",25.3
37,19.4,43.5,23,57,214,"A",22.7
26,11.1,58.3,16.3,57,243,"A",24.4
31,22.9,43.4,22,62,235,"A",27
21,14.1,45.1,26.9,59,226,"A",21.6
59,10.4,45.7,21.1,52,149,"A",24
28,19,47.6,20.6,67,235,"A",23.1
21,16.7,48.2,25.2,57,235,"A",22.1
22,14,51.9,18.9,58,245,"A",24.4
35,20.4,44.2,16.7,61,222,"A",24.1
40,16.5,62.1,22.3,51,255,"A",26
41,20.1,46.8,21.4,57,219,"A",25.1
62,10.2,40.9,12.9,35,195,"A",22.2
34,21,41.8,18.5,51,229,"A",26.1
33,16.5,41.7,26.2,49,226,"A",19.9
21,14.4,46.8,27,57,234,"A",25.4
28,18.7,47.2,15.8,58,230,"A",25.5
26,19.7,49.9,18,52,224,"A",24.9
28,14,52.8,26.4,59,249,"A",23.7
32,14.8,37.1,22.3,60,216,"A",20.4
61,21.8,45.2,18.7,42,189,"A",23.5
62,18.4,45.9,17.1,33,184,"A",26.6
44,14.8,36.5,21.3,50,221,"A",17.5
29,14.5,54.9,20,65,240,"A",22.9
32,21.6,58.1,22.5,54,230,"A",27.7
60,20.5,38.4,12.1,44,158,"A",24
37,14.3,48.9,25.3,54,268,"A",25.7
40,19.7,44,23.5,51,232,"A",24
24,9,55,19.6,56,242,"A",11.3
36,25.7,46.6,19.9,47,240,"A",25.9
23,21.2,40.5,18.3,65,234,"A",24
45,17,50.8,19.5,43,214,"A",26.4
62,24.3,41.7,12.1,38,181,"A",25.4
28,15.2,49.5,16.4,57,231,"A",23.5
28,18.9,44.7,24,59,235,"A",27.1
21,14.4,58.5,17.4,56,249,"A",26.1
32,23,40,22.1,50,245,"A",23.5
61,20.1,39,13.9,39,165,"A",24.5
35,16.2,47.2,27.1,50,251,"A",25.7
40,21.6,53.7,15.1,57,222,"A",26.2
60,15,35.3,18.2,33,191,"A",23.1
30,22.5,48.7,14.5,50,235,"A",26.4
27,15.6,41.7,17,55,230,"A",24.2
37,21.4,41.2,20.7,53,236,"A",22.4
27,14.6,50.7,17.9,59,235,"A",21.8
60,19.1,40.3,12.9,41,198,"A",19.3
21,11.2,41.6,18.6,55,255,"A",21.6
62,18.4,52,12.3,35,200,"A",25.3
27,9.8,44.3,18.2,72,236,"A",24.4
63,21.2,40.2,14.8,49,191,"A",27.5
46,14.3,52.7,18.1,50,224,"A",22.2
26,9.7,55.6,18.4,58,275,"A",22.9
33,17.3,47.1,16,53,267,"A",26.1
29,18.7,46.2,22.7,54,226,"A",23.3
63,26.1,37.8,13,31,179,"A",24.3
25,10.7,50.4,23.2,54,245,"A",23.6
25,15.2,40.4,21.2,60,228,"A",22.4
35,10.9,42.2,21.4,46,224,"A",20.6
26,19.1,42.3,15.1,63,234,"A",25.1
38,22.3,53.8,17.7,50,238,"A",26.8
22,15.3,44.1,16.2,57,229,"A",22.5
36,16.1,52.5,22.3,63,253,"A",25.9
26,19,36.4,24.5,59,218,"A",24.2
39,14.3,44.9,26.7,59,233,"A",22.8
36,19.7,47.6,18.6,60,243,"A",23.5
57,17.7,40.1,16.9,35,194,"A",22.3
32,16.3,45.8,15,50,224,"A",23.4
28,11.2,42.7,23.2,71,269,"A",23.4
42,10.8,50.8,20.7,60,248,"A",23
61,27.8,41.9,18.3,31,169,"A",27.5
24,15.2,42,22,55,252,"A",21.2
26,14,53.3,15.3,63,234,"A",24.9
60,8.6,39,17.9,36,195,"A",20.2
26,11,51.9,25,67,270,"A",23.7
36,20.2,48.7,19,57,214,"A",26
26,15.4,51.2,26.9,57,241,"A",23.3
28,18.9,45.5,22.8,57,226,"A",23.4
28,15,62.1,18.2,60,237,"A",26.5
60,19.6,45.4,15.3,35,197,"A",23.9
25,8.7,49.7,19.2,52,255,"A",22.1
34,14.9,45.9,24.6,58,225,"A",23.8
57,24.6,47.6,15.8,41,196,"A",25.9
60,23.1,38.2,17.1,50,185,"A",24.4
61,12.7,46.3,15.2,39,207,"A",24
24,12.1,45.4,30.3,71,258,"A",25.5
25,14.8,64.3,19.6,62,262,"A",25.4
25,11.5,56.7,17.1,51,257,"A",20.3
21,10.8,48.5,28.1,67,248,"A",23.1
21,15.5,39.1,18.5,56,242,"A",21.4
63,18.3,40.3,11.9,37,195,"A",23.3
29,10,30.3,18.7,65,247,"A",16.1
27,8.3,42.5,21.6,64,249,"A",22.4
21,16.7,43.7,20.7,56,241,"A",26.7
26,12.2,54.6,17.5,53,247,"A",23.1
30,27.4,49.5,17.6,56,225,"A",28.9
28,17.9,45.9,21.7,60,211,"A",21.2
33,26.3,60.3,17.7,51,239,"A",28.5
60,26.5,47.2,13.4,35,200,"A",23.4
45,24.3,38.5,20.7,44,223,"A",23.8
37,10,59.1,25.2,65,265,"A",21.7
53,17.8,45,25.8,65,223,"A",23.8
25,17.9,49.5,21.5,63,265,"A",24.4
52,20.5,32,16.6,50,204,"A",24.7
49,13.4,39.8,18.3,52,204,"A",23.6
21,14.1,39.3,23.8,59,246,"A",24
31,19.3,47.3,18,52,188,"A",23
26,13.1,51.3,20.1,66,240,"A",23.6
27,18.6,47.5,20.2,53,224,"A",23.3
25,14.1,48.8,23.2,58,233,"A",26.6
55,15.4,41.8,18.7,54,222,"A",21.3
30,13.9,60.9,19.7,58,245,"A",25.8
28,18.7,52.1,21.7,61,234,"A",26.1
35,27.5,48.2,20,45,202,"A",25.3
58,24.6,34.4,15.5,41,191,"A",23.9
26,4.9,41.8,16.6,62,218,"A",16.8
29,12,50.7,23,60,231,"A",22.6
30,20.7,53.8,18,54,232,"A",27.1
58,21.5,42.2,19.6,40,183,"A",24.4
27,14.6,44.6,19,62,237,"A",24.3
37,12,51.8,15.5,60,234,"A",23.4
63,18.5,36.1,15.3,32,167,"A",23.3
21,10.9,47.2,17,68,266,"A",23.2
55,23.6,41.2,15.1,46,197,"A",24
32,21,56,20.4,48,226,"A",26.1
60,24.6,44.2,19.6,38,200,"A",25.6
30,17.9,52.7,17.1,66,264,"A",26.7
39,17.30705,44.6,14.9,60,219,"A",24.5
35,29.6,63.1,17.4,60,258,"A",29.6
32,13.6,48,26.9,60,232,"A",25.4
36,9.7,50.9,14.2,54,239,"A",22.3
35,14.6,36.8,22,55,237,"A",24.7
27,4.5,53,20,54,262,"A",25
61,17.7,39.9,14.5,33,178,"A",24.1
25,16.5,47.3,24.8,55,245,"A",27.9
21,13.8,35.9,16.4,65,245,"A",21.4
44,11.7,51.9,23.7,57,249,"A",24.7
31,12,42.8,17.3,50,234,"A",23.5
22,11,53.1,25.7,55,270,"A",23.5
25,12.1,52.1,20.6,57,239,"A",24.3
29,18.3,53.9,15.8,55,235,"A",26
30,15.8,51.8,22.9,54,241,"A",22
26,20.8,41.2,16.3,57,228,"A",22.8
45,13.3,46.2,13.9,43,210,"A",23.5
35,14,45.1,18.9,50,272,"A",21.8
21,13.8,49.9,21.3,63,250,"A",23.1
36,12,45.2,16.6,62,233,"A",22
44,17.7,49.1,15.4,51,214,"A",25.3
27,15.6,49.7,18.4,57,240,"A",24.9
63,12.97,42.8,14.3,33,195,"A",22.1
22,21.3,36.5,18,56,237,"A",24.2
60,17.1,35.6,13.4,44,200,"A",23.3
26,15.4,54.1,18.2,51,250,"A",24.3
40,15.1,39.6,17.4,54,235,"A",20.3
21,9.6,35.4,16.4,57,242,"A",19.7
32,20.2,48.3,21.5,51,246,"A",25.8
25,14.6,49.6,22,69,267,"A",23.2
26,18.4,42.9,15.1,52,237,"A",24.8
60,22.5,37.3,17.4,42,205,"A",22
34,18.1,55,16.4,48,244,"A",24.7
36,15.6,46.8,20.5,47,226,"A",22.8
57,25,42.9,16.4,39,192,"A",23.7
21,11.4,43.3,20.1,64,243,"A",20.4
56,17.6,44.3,20,41,178,"A",23.9
25,20.8,52.4,22,59,235,"A",25.8
64,14.6,31.2,19.7,45,203,"A",22.1
38,17.1,39.4,21.8,59,227,"A",21.8
44,16.7,45.1,18.3,52,233,"A",22.5
31,18.3,46.4,18.8,55,243,"A",25.1
40,13,46.8,17.9,52,228,"A",22.4
27,19.5,48.7,19.1,55,223,"A",24.1
49,15.7,43.8,14.2,41,220,"A",23.6
25,16.9,57.9,23.2,61,242,"A",27.1
28,14.3,46.8,28.8,56,251,"A",23.5
42,22.2,50.4,16.2,44,232,"A",26.7
27,14,54.9,20.6,59,237,"A",24.7
26,19,45.3,17.1,53,215,"A",20.6
26,8.7,54.1,18.8,55,253,"A",23.1
28,10.7,49.6,17.7,57,247,"A",25.2
45,11.9,59.1,22.7,47,239,"A",21.9
30,17.8,54.2,19.2,60,234,"A",25.3
37,19.8,54.2,21.9,50,260,"A",26.8
37,14.8,47.3,17.5,49,246,"A",27.4
27,15.9,47.1,29.1,53,238,"A",22.8
27,15.1,48.4,24.3,59,255,"A",26.2
26,22,45.5,18.9,54,242,"A",24.7
26,17.4,49,19.6,75,242,"A",23.4
37,12.8,38.6,15.5,59,221,"A",21.9
60,9.9,42.2,16.4,32,222,"A",21.3
22,22.2,37.8,17.2,63,237,"A",24.2
58,9.963,39.5,22.9,48,180,"A",21.6
29,13.8,52.9,21.2,55,254,"A",26
28,13.5,44.4,17.5,53,227,"A",19.7
21,13.5,57.9,29.4,59,270,"A",27.7
64,21.1,36,15.6,34,175,"A",23.2
22,13.6,52.1,16.2,72,275,"A",22.9
27,11.4,50.9,15.9,53,252,"A",22.6
52,21.1,52,15.4,38,200,"A",24.1
21,16.4,44.9,21.6,63,252,"A",26.7
60,19.7,46.2,22.2,33,193,"A",26.4
27,8.7,42.1,16.3,67,256,"A",21.8
22,25.5,51.7,19.3,56,277,"A",25.7
36,16.9,50,21,60,240,"A",24.7
32,17.9,42.2,18.3,52,245,"A",21.4
41,14.7,45.3,17,44,215,"A",22.3
26,7.9,57.3,21,51,261,"A",24.6
40,19.5,43,16.2,49,232,"A",24
54,15.7,45,24,55,208,"A",22.2
27,10.7,43.5,22,56,250,"A",30.3
56,24.7,48.7,17.3,37,198,"A",26
51,16.7,35,18,41,181,"A",21.8
28,12.7,37.4,16.9,55,258,"A",23.1
36,19.6,55,21.4,50,227,"A",24.3
47,14.8,43,20.4,47,200,"A",22.3
46,23.4,36,42,42,210,"A",23.5
25,11.7,41.1,23.7,60,260,"A",24.2
50,20,37.1,21.2,55,208,"A",22.8
30,16.9,44.5,25.1,63,226,"A",24.5
35,11.4,43.5,19.2,46,216,"A",21.7
50,23.5,40.6,17.3,47,202,"A",24
46,17.4,47.8,15.7,45,215,"A",22.9
26,17.3,52.1,21.8,58,261,"A",25.8
45,22.1,49.9,19.4,58,230,"A",25.5
42,20.8,42,25.3,49,219,"A",22.7
25,19.2,46.8,23.4,55,234,"A",23.9
31,18.2,44.9,22.4,51,247,"A",22.9
31,17.1,52.7,23.2,54,235,"A",23.8
22,18.7,43.8,21.7,56,238,"A",23.9
25,14.9,48.9,19.2,52,227,"A",22.5
26,18.4,60,18.5,53,235,"A",24.8
21,14.8,39.7,24.7,61,240,"A",20.9
46,11.1,42.2,17.5,57,208,"A",19.3
24,16.4,51.9,20.6,56,246,"A",23.8
21,18.5,36.5,17.8,63,243,"A",24.1
23,11.1,57,17.4,61,236,"A",24
